y_true_naira,y_pred_naira
25000000.000000283,24650812.23508925
500000.0000000051,1331078.7834749036
1999999.999999994,1331078.7834749036
1499999.9999999788,5756749.834700929
17999999.9999999,19973638.908817556
2500000.0000000005,2292729.2710811812
19999999.99999976,5756749.834700929
999999.9999999978,1331078.7834749036
5000000.00000005,5101304.460685591
1499999.9999999788,1130666.5596487825
40000000.00000088,26617187.860194378
74999999.99999894,58479899.430305235
22999999.99999997,19973638.908817556
999999.9999999978,1331078.7834749036
600000.0000000006,2292729.2710811812
900000.0000000031,1331078.7834749036
8000000.000000092,19973638.908817556
500000.0000000051,1331078.7834749036
10999999.999999953,5756749.834700929
12000000.000000162,20745247.604913365
3499999.9999999376,5084172.405382519
999999.9999999978,1331078.7834749036
1200000.0000000123,2292729.2710811812
999999.9999999978,1149057.8854906976
1999999.999999994,1331078.7834749036
1200000.0000000123,1331078.7834749036
3499999.9999999376,20745247.604913365
37000000.00000008,34861574.08893405
1499999.9999999788,1130666.5596487825
2500000.0000000005,2292729.2710811812
1999999.999999994,1149057.8854906976
54999999.999998644,32585606.86403393
8000000.000000092,2115568.6701341867
19999999.99999976,17588400.372558203
1499999.9999999788,1331078.7834749036
4500000.000000088,6035056.941078165
14999999.999999693,5756749.834700929
5000000.00000005,4845932.529382737
900000.0000000031,1331078.7834749036
4500000.000000088,2198175.9158428214
799999.9999999965,1219364.9374380053
14999999.999999693,20745247.604913365
3000000.000000004,2762664.426111939
799999.9999999965,1219364.9374380053
7000000.000000129,5756749.834700929
8000000.000000092,4753386.238188142
799999.9999999965,1331078.7834749036
12000000.000000162,7423378.536599549
50000000.00000148,20541408.008135494
8000000.000000092,5839323.091976068
2500000.0000000005,2292729.2710811812
3000000.000000004,2198175.9158428214
22000000.000000246,14394364.274381053
1799999.9999999898,1585208.0219381351
1999999.999999994,1331078.7834749036
1799999.9999999898,1331078.7834749036
3499999.9999999376,2292729.2710811812
19999999.99999976,20745247.604913365
45000000.00000049,34861574.08893405
1200000.0000000123,1345629.5889873998
1049999.9999999993,2115568.6701341867
12999999.999999912,7423378.536599549
700000.0000000049,1331078.7834749036
700000.0000000049,1331078.7834749036
799999.9999999965,1585208.0219381351
2500000.0000000005,5756749.834700929
1999999.999999994,1331078.7834749036
999999.9999999978,1149057.8854906976
1200000.0000000123,2115568.6701341867
4500000.000000088,2292729.2710811812
1999999.999999994,2198175.9158428214
1499999.9999999788,2115568.6701341867
999999.9999999978,1331078.7834749036
999999.9999999978,1130666.5596487825
1200000.0000000123,2292729.2710811812
8000000.000000092,4845932.529382737
3499999.9999999376,2292729.2710811812
2500000.0000000005,2292729.2710811812
1499999.9999999788,1498265.624389497
1600000.000000007,2292729.2710811812
4000000.000000008,3576562.573517201
1300000.0000000042,1192317.83827949
999999.9999999978,4581736.437513408
399999.9999999992,763113.3624104814
1200000.0000000123,2115568.6701341867
9499999.999999836,7423378.536599549
30000000.000000868,26617187.860194378
900000.0000000031,1331078.7834749036
1999999.999999994,4581736.437513408
600000.0000000006,1331078.7834749036
5000000.00000005,4845932.529382737
14999999.999999693,4845932.529382737
19999999.99999976,5756749.834700929
4500000.000000088,4996042.692371055
500000.0000000051,4845932.529382737
999999.9999999978,2198175.9158428214
3000000.000000004,2292729.2710811812
54999999.999998644,42585983.318477444
3000000.000000004,2292729.2710811812
7000000.000000129,5756749.834700929
7000000.000000129,5756749.834700929
1699999.9999999683,1345629.5889873998
2500000.0000000005,2292729.2710811812
1499999.9999999788,1331078.7834749036
3000000.000000004,2115568.6701341867
5000000.00000005,4845932.529382737
22000000.000000246,20745247.604913365
3000000.000000004,2762664.426111939
2500000.0000000005,4845932.529382737
1799999.9999999898,2292729.2710811812
5000000.00000005,4845932.529382737
19999999.99999976,17588400.372558203
600000.0000000006,2292729.2710811812
1999999.999999994,1331078.7834749036
8999999.999999816,4581736.437513408
1499999.9999999788,1331078.7834749036
4500000.000000088,2292729.2710811812
5999999.999999846,4845932.529382737
3000000.000000004,2292729.2710811812
2500000.0000000005,1331078.7834749036
54998999.999997795,37088042.29381264
